"Title: Total Heart Disease Deaths | KFF State Health Facts"
"Timeframe: 2024"
"Location","Number of Heart Disease Deaths","Heart Disease Death Rate per 100,000"
"United States","683,491","157.6"
"Alabama","14,727","223.9"
"Alaska","831","116.3"
"Arizona","14,918","141.9"
"Arkansas","8,532","217.1"
"California","62,439","130.4"
"Colorado","7,882","118.8"
"Connecticut","6,697","128.9"
"Delaware","2,259","151.5"
"District of Columbia","1,085","154.6"
"Florida","50,008","134.5"
"Georgia","21,725","175.2"
"Hawaii","3,006","130.6"
"Idaho","3,449","146.6"
"Illinois","25,150","153.2"
"Indiana","15,310","179.6"
"Iowa","7,575","169.9"
"Kansas","6,074","160.9"
"Kentucky","11,292","196.9"
"Louisiana","12,327","220"
"Maine","3,438","156.4"
"Maryland","11,450","143.7"
"Massachusetts","11,631","121.5"
"Michigan","26,240","194.7"
"Minnesota","9,228","121.9"
"Mississippi","8,586","236.5"
"Missouri","15,406","187.5"
"Montana","2,617","164.8"
"Nebraska","3,767","152.7"
"Nevada","7,130","179.8"
"New Hampshire","2,899","140.2"
"New Jersey","17,718","141.8"
"New Mexico","4,563","155.5"
"New York","40,542","145.7"
"North Carolina","21,126","155.5"
"North Dakota","1,638","161.1"
"Ohio","28,929","183.7"
"Oklahoma","12,432","254.3"
"Oregon","7,611","132.7"
"Pennsylvania","30,768","162.4"
"Rhode Island","2,317","146.5"
"South Carolina","12,494","175"
"South Dakota","1,730","144.2"
"Tennessee","18,432","210"
"Texas","50,723","163.1"
"Utah","4,622","160.5"
"Vermont","1,533","157.6"
"Virginia","16,631","151.7"
"Washington","12,646","133.2"
"West Virginia","5,364","205.3"
"Wisconsin","12,793","160.1"
"Wyoming","1,201","156.2"

"Notes"
"These figures are age-adjusted to the total U.S. population in 2000. Since death rates are affected by the population composition of a given area, age-adjusted death rates should be used for comparisons between areas because they control for differences in population composition."
""
"Causes of death attributable to heart disease mortality include ICD-10 Codes I00-I02;I05-I09; I11.0;I11.9;I13.0-I13.2;I13.9;I20-I28;I30-I51."

"Sources"
"Centers for Disease Control and Prevention, National Center for Health Statistics. Underlying Cause of Death 1999-2024 on [CDC WONDER Online Database](http://wonder.cdc.gov/). Data are from the Multiple Cause of Death Files, 1999-2024, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at [https://wonder.cdc.gov/ucd-icd10-expanded.html](https://wonder.cdc.gov/ucd-icd10-expanded.html) on February 18, 2026."


