"Title: Distribution of Body Mass Index Among Adults | KFF State Health Facts"
"Timeframe: 2023"
"Location","Underweight (BMI 12.0-18.4)","Normal Weight (BMI  18.5-24.9)","Overweight (BMI 25.0-29.9)","Obese (BMI 30-39.9)","Severely Obese (BMI of 40 or Higher)",Footnotes
"United States","0.020","0.305","0.347","0.271","0.057","1"
"Alabama","0.020","0.260","0.327","0.322","0.070"
"Alaska","0.017","0.299","0.333","0.298","0.053"
"Arizona","0.022","0.315","0.345","0.265","0.054"
"Arkansas","0.021","0.261","0.318","0.320","0.080"
"California","0.022","0.337","0.364","0.236","0.041"
"Colorado","0.027","0.375","0.350","0.218","0.031"
"Connecticut","0.015","0.326","0.365","0.249","0.045"
"Delaware","0.016","0.271","0.356","0.296","0.061"
"District of Columbia","0.024","0.405","0.335","0.193","0.043"
"Florida","0.016","0.328","0.356","0.256","0.045"
"Georgia","0.016","0.298","0.337","0.285","0.065"
"Hawaii","0.028","0.367","0.344","0.223","0.038"
"Idaho","0.019","0.314","0.357","0.257","0.052"
"Illinois","0.017","0.273","0.350","0.295","0.065"
"Indiana","0.019","0.270","0.333","0.308","0.070"
"Iowa","0.014","0.265","0.344","0.308","0.069"
"Kansas","0.021","0.286","0.333","0.293","0.066"
"Kentucky","N/A","N/A","N/A","N/A","N/A"
"Louisiana","0.017","0.263","0.321","0.310","0.089"
"Maine","0.021","0.300","0.353","0.271","0.055"
"Maryland","0.015","0.297","0.347","0.284","0.056"
"Massachusetts","0.024","0.350","0.352","0.229","0.045"
"Michigan","0.021","0.292","0.334","0.283","0.071"
"Minnesota","0.019","0.307","0.342","0.276","0.056"
"Mississippi","0.016","0.267","0.316","0.322","0.079"
"Missouri","0.021","0.283","0.343","0.287","0.065"
"Montana","0.017","0.326","0.352","0.259","0.046"
"Nebraska","0.017","0.269","0.348","0.302","0.063"
"Nevada","0.021","0.315","0.356","0.257","0.051"
"New Hampshire","0.010","0.306","0.356","0.276","0.052"
"New Jersey","0.023","0.329","0.359","0.248","0.041"
"New Mexico","0.020","0.288","0.339","0.293","0.060"
"New York","0.026","0.333","0.361","0.237","0.043"
"North Carolina","0.018","0.292","0.349","0.276","0.064"
"North Dakota","0.019","0.268","0.358","0.296","0.060"
"Ohio","0.016","0.288","0.332","0.293","0.071"
"Oklahoma","0.020","0.274","0.319","0.306","0.081"
"Oregon","0.024","0.306","0.334","0.274","0.062"
"Pennsylvania","N/A","N/A","N/A","N/A","N/A"
"Rhode Island","0.025","0.311","0.348","0.269","0.047"
"South Carolina","0.021","0.281","0.338","0.291","0.069"
"South Dakota","0.014","0.284","0.343","0.281","0.079"
"Tennessee","0.015","0.278","0.331","0.310","0.066"
"Texas","0.018","0.288","0.350","0.280","0.064"
"Utah","0.026","0.329","0.343","0.257","0.045"
"Vermont","0.016","0.349","0.348","0.235","0.052"
"Virginia","0.017","0.297","0.343","0.283","0.060"
"Washington","0.018","0.323","0.352","0.253","0.053"
"West Virginia","0.021","0.247","0.320","0.319","0.092"
"Wisconsin","0.015","0.284","0.341","0.296","0.063"
"Wyoming","0.026","0.283","0.357","0.283","0.050"
"Guam","0.020","0.277","0.349","0.289","0.065"
"Puerto Rico","0.028","0.261","0.351","0.304","0.056"
"U.S. Virgin Islands","0.023","0.274","0.382","0.262","0.058"

"Notes"
"An adult who has a BMI of 40 or higher is considered severely obese."
""
"Data based on the Behavioral Risk Factor Surveillance System, an ongoing, state-based, random-digit-dialed telephone survey of non-institutionalized civilian adults aged 18 years and older. Information about the BRFSS is available at [http://www.cdc.gov/brfss/index.html](http://www.cdc.gov/brfss/index.html)."

"Sources"
"KFF analysis of the Centers for Disease Control and Prevention (CDC)'s 2021-2024 Behavioral Risk Factor Surveillance System (BRFSS)."

"Definitions"
"*NSD*: Estimates are not provided if the relative standard error exceeds 30% or if the denominator is based on fewer than 50 respondents in the unweighted sample. "
""
"*N/A*: Data not available. US Virgin Islands is only included in BRFSS in 2023 and 2024. Florida was unable to collect BRFSS data over enough months to meet the minimum requirements for inclusion in 2021, and Kentucky and Pennsylvania did not meet minimum requirements for inclusion in 2023. Tennessee was unable to collect enough data to meet the minimum requirements for inclusion in 2024."


Footnotes
"1. US totals exclude data from the territories."
