"Title: Total Diabetes Deaths | KFF State Health Facts"
"Timeframe: 2023"
"Location","Number of Diabetes Deaths","Diabetes Death Rate per 100,000 Population",Footnotes
"United States","95190","22.4","1"
"Alabama","1436","22.1"
"Alaska","136","18.4"
"Arizona","2343","23.6"
"Arkansas","1262","32.7"
"California","11325","24.1"
"Colorado","1105","16.3"
"Connecticut","711","14.2"
"Delaware","342","23"
"District of Columbia","133","19.6"
"Florida","7321","21.1"
"Georgia","2626","21.1"
"Hawaii","328","15"
"Idaho","450","18.7"
"Illinois","2913","18.3"
"Indiana","2278","27.1"
"Iowa","951","22.6"
"Kansas","894","24.6"
"Kentucky","1620","28.6"
"Louisiana","1608","28.6"
"Maine","552","25.2"
"Maryland","1780","23"
"Massachusetts","1451","15.5"
"Michigan","3168","23.5"
"Minnesota","1453","19.5"
"Mississippi","1161","31.8"
"Missouri","1860","23.3"
"Montana","339","22"
"Nebraska","581","23.9"
"Nevada","945","24"
"New Hampshire","376","18.8"
"New Jersey","1836","15.1"
"New Mexico","781","28.1"
"New York","4486","16.9"
"North Carolina","3443","25.3"
"North Dakota","223","24"
"Ohio","4050","26.1"
"Oklahoma","1344","28.5"
"Oregon","1351","23.6"
"Pennsylvania","3738","20.4"
"Rhode Island","288","18.6"
"South Carolina","1656","23.4"
"South Dakota","266","23"
"Tennessee","2556","29.2"
"Texas","7644","24.2"
"Utah","699","23.1"
"Vermont","183","18.9"
"Virginia","2617","24.1"
"Washington","1989","21"
"West Virginia","925","36.2"
"Wisconsin","1479","18.8"
"Wyoming","188","25.2"

"Notes"
"These figures are age-adjusted to the total U.S. population in 2000."
""
"Underlying cause of death is diabetes mellitus (ICD-10 codes: E10-E14)."

"Sources"
"Centers for Disease Control and Prevention, National Center for Health Statistics. Underlying Cause of Death 1999-2024 on [CDC WONDER Online Database](http://wonder.cdc.gov/). Data are from the Multiple Cause of Death Files, 1999-2024, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at [https://wonder.cdc.gov/ucd-icd10-expanded.html](https://wonder.cdc.gov/ucd-icd10-expanded.html) on February 18, 2026."


Footnotes
"1. U.S. rate does not include data from the territories."
